item,data_lancamento,lanc_Ent_qtd,lanc_Ent_valor,lanc_Sai_qtd,lanc_Sai_valor,saldo_inicio_valor,saldo_inicio_qtd,saldo_final_valor,saldo_final_qtd
80.03.104-1,25/01/2013,0.0,0.0,1963.4289999999999,4072.9799999999996,316959.99999999994,152794.16190000006,312887.01999999996,150830.73290000006
80.03.104-1,26/01/2013,219.1068,454.52,641.7997,1331.3600000000001,312887.01999999996,150830.73290000006,312010.18,150408.04000000007
80.03.104-1,30/01/2013,0.0,0.0,5618.1975,11654.5,312010.18,150408.04000000007,300355.68,144789.84250000006
80.03.104-1,31/01/2013,0.0,0.06,0.0,0.06,300355.68,144789.84250000006,300355.68,144789.84250000006
80.03.104-1,02/02/2013,0.0,0.0,2352.8143,4880.75,300355.68,144789.84250000006,295474.93,142437.02820000006
80.03.104-1,05/02/2013,13321.4752,27634.47,17158.2897,35593.67,295474.93,142437.02820000006,287515.73000000004,138600.21370000005
80.03.104-1,06/02/2013,0.0,0.0,9351.696800000002,19399.44,287515.73000000004,138600.21370000005,268116.29000000004,129248.51690000005
80.03.104-1,08/02/2013,9020.0,18711.36,18035.014300000003,37412.369999999995,268116.29000000004,129248.51690000005,249415.28000000003,120233.50260000004
80.03.104-1,15/02/2013,11280.0,23399.57,22543.106100000005,46764.08,249415.28000000003,120233.50260000004,226050.77000000002,108970.39650000003
80.03.104-1,18/02/2013,11870.0,24623.48,23742.5108,49252.17,226050.77000000002,108970.39650000003,201422.08000000002,97097.88570000003
80.03.104-1,19/02/2013,8660.0,17964.57,17324.2897,35938.03999999999,201422.08000000002,97097.88570000003,183448.61000000004,88433.59600000002
80.03.104-1,20/02/2013,11030.0,22880.96,12488.1532,25905.8,183448.61000000004,88433.59600000002,180423.77000000005,86975.44280000002
80.03.104-1,21/02/2013,0.0,0.0,11026.1528,22872.98,180423.77000000005,86975.44280000002,157550.79000000004,75949.29000000002
80.03.104-1,23/02/2013,12050.0,24996.88,12050.0,24996.88,157550.79000000004,75949.29000000002,157550.79000000004,75949.29000000002
80.03.104-1,27/02/2013,0.0,0.0,12005.634200000002,24904.85,157550.79000000004,75949.29000000002,132645.94000000003,63943.65580000002
80.03.104-1,28/02/2013,12354.8713,25629.359999999997,24242.602000000003,50289.64,132645.94000000003,63943.65580000002,107985.66000000002,52055.92510000002
80.03.104-1,01/03/2013,0.0,0.0,1.7045,3.6799999999999997,107985.66000000002,52055.92510000002,107981.98000000003,52054.22060000002
80.03.104-1,05/03/2013,11900.0,25781.230000000003,23843.187100000003,51656.01,107981.98000000003,52054.22060000002,82107.20000000001,40111.03350000002
80.03.104-1,06/03/2013,8330.0,18046.86,8330.0,18046.86,82107.20000000001,40111.03350000002,82107.20000000001,40111.03350000002
